id,loss,change point label
1,1.2,0
2,1.567,0
3,1.267,0
4,1.267,0
5,1.367,0
6,1.433,0
7,2.533,0
8,3.8,0
9,3.3,0
10,4.2,0
11,3.433,0
12,3.033,0
13,2.2,0
14,1.267,0
15,0.767,0
16,0.067,0
17,1.067,0
18,1.767,0
19,1.833,0
20,1,0
21,1.3,0
22,0.267,0
23,1.033,0
24,0.4,0
25,1.067,0
26,0.267,0
27,0.133,0
28,0.033,0
29,0.333,0
30,0.033,0
31,0.333,0
32,0.567,0
33,0.267,0
34,2.733,0
35,3.167,0
36,4.667,0
37,5.667,0
38,12.467,1
39,13.733,0
40,14.167,0
41,14.3,0
42,14.9,0
43,14.1,0
44,13.4,0
45,12.1,0
46,12.467,0
47,8.9,0
48,8.767,0
49,12.733,0
50,13.333,0
51,4,0
52,4.033,0
53,4.9,0
54,5.233,0
55,4.6,0
56,4.6,0
57,3.4,0
58,3.267,0
59,4.567,0
60,4.8,0
61,4.6,0
62,4.833,0
63,5.267,0
64,5.767,0
65,6.2,0
66,6.967,0
67,6.5,0
68,3.167,0
69,1.633,0
70,2.767,0
71,3,0
72,2.367,0
73,1.2,0
74,0.933,0
75,3.7,0
76,2.233,0
77,0.667,0
78,1.2,0
79,2.433,0
80,1.2,0
81,0.133,0
82,0.5,0
83,0.167,0
84,1.3,0
85,1.433,0
86,2.167,0
87,1.822,0
88,2.433,0
89,2,0
90,0.233,0
91,0.2,0
92,0.767,0
93,1.1,0
94,1.2,0
95,10.133,1
96,10.967,0
97,13.7,0
98,15.867,0
99,15.7,0
100,14.533,0
101,14.033,0
102,15.333,0
103,15.667,0
104,13.4,0
105,10.833,0
106,9.3,0
107,3.967,0
108,3.133,0
109,2.133,0
110,1.733,0
111,2,0
112,1.867,0
113,2.267,0
114,2.633,0
115,3.7,0
116,4.367,0
117,5.667,0
118,3.833,0
119,0.333,0
120,0.133,0
121,0.433,0
122,0.733,0
123,0.5,0
124,1.067,0
125,0.7,0
126,0.567,0
127,0.267,0
128,0.2,0
129,0.233,0
130,0.1,0
131,0.5,0
132,0.133,0
133,0.367,0
134,0.833,0
135,0.167,0
136,0.367,0
137,0.2,0
138,1.033,0
139,2.7,0
140,2.267,0
141,3.167,0
142,1.767,0
143,2.733,0
144,2.1,0
145,3.333,0
146,3.2,0
147,2.367,0
148,1.8,0
149,2.4,0
150,4.733,0
151,6.567,0
152,6,0
153,2.833,0
154,0.967,0
155,0.1,0
156,1.9,0
157,2.9,0
158,2.378,0
159,2.967,0
160,3.1,0
161,2.9,0
162,2.3,0
163,2.767,0
164,3.267,0
165,2.733,0
166,2.233,0
167,3.1,0
168,2.8,0
169,2.167,0
170,1.833,0
171,2.519,0
172,1.233,0
173,1.733,0
174,2.133,0
175,2.067,0
176,8.3,1
177,10.367,0
178,13.067,0
179,14.767,0
180,15.167,0
181,15.233,0
182,15.833,0
183,13.2,0
184,12,0
185,10.533,0
186,10.3,0
187,9.233,0
188,8.2,0
189,8.367,0
190,8.1,0
191,2.267,0
192,1.9,0
193,1.133,0
194,1.033,0
195,1,0
196,0.967,0
197,1.067,0
198,1.833,0
199,1.067,0
200,1.933,0
201,4.2,0
202,7.067,0
203,7.1,0
204,6.267,0
205,5.167,0
206,4.233,0
207,4.167,0
208,3.533,0
209,3.233,0
210,2.367,0
211,1.9,0
212,1.267,0
213,0.833,0
214,0.233,0
215,0.433,0
216,0.633,0
217,0.867,0
218,1.233,0
219,1.7,0
220,1.6,0
221,1.6,0
222,1.467,0
223,1.2,0
224,0.733,0
225,2.4,0
226,3,0
227,2.867,0
228,3.433,0
229,3.633,0
230,3.4,0
231,3.2,0
232,2.8,0
233,1.933,0
234,1.667,0
235,1.333,0
236,0.7,0
237,0.9,0
238,1.5,0
239,1,0
240,0.133,0
241,1.767,0
242,1.367,0
243,1.367,0
244,1.7,0
245,0.533,0
246,1.367,0
247,2.4,0
248,5.233,0
249,2.133,0
250,2.9,0
251,3.567,0
252,3.5,0
253,4.133,0
254,3.2,0
255,3.733,0
256,2.833,0
257,3.367,0
258,2.733,0
259,3.467,0
260,3.967,0
261,3.667,0
262,3.133,0
263,3.367,0
264,3.033,0
265,2.067,0
266,1.867,0
267,4.7,0
268,2.433,0
269,1.967,0
270,3.567,0
271,4.233,0
272,4.167,0
273,2.9,0
274,2.567,0
275,2.133,0
276,1.933,0
277,1.367,0
278,1.3,0
279,1.067,0
280,1.5,0
281,1.433,0
282,0.467,0
283,0.1,0
284,1.1,0
285,2.933,0
286,3.433,0
287,3.267,0
288,3.5,0
289,3.067,0
290,5.033,0
291,4.367,0
292,5.2,0
293,5.4,0
294,5.933,0
295,4.933,0
296,2,0
297,0.367,0
298,0.967,0
